Resource Title,Source info (literally any way to trace this back + confirm it's real),X-Coordinate,Y-Coordinate
Recycle Here! Drop-Off Recycling Center,https://detroitmi.gov/departments/department-public-works/refuse-collection/detroit-recycles/recycle-here-drop-facility,42.36151,-83.07478
Lincoln Street Art Park Recycling Area,"5926 Lincoln St, Detroit, MI 48208",42.36161,-83.08115
Detroit Water and Sewerage Department (DWSD),https://detroitmi.gov/departments/water-and-sewerage-department,42.33291689,", -83.04359461313305"
Detroit City Hall,"2 Woodward Ave # 611, Detroit, MI 48226",42.33123281,", -83.04186250331283"
Detroit Animal Care and Control,https://detroitmi.gov/departments/general-services-department/detroit-animal-care-and-control,42.36737965,", -83.05172642802977"
Detroit Household Hazardous Center,https://detroitmi.gov/how-do-i/find-information/hazardous-waste,"42.36829201658092, -83.04758610082831",
City of Detroit Department of Public Works/Motor Service,https://maps.app.goo.gl/RkpCTuo9VxfnqCVn7,42.36926562,", -83.05392865037567"
Detroit City DPW,https://detroitmi.gov/departments/department-public-works/refuse-collection/detroit-recycles/recycle-here-drop-facility,"42.38610861346255, -83.15081678673059",
Detroit Disposal + Recycling Center,https://www.detroit-disposal.com/?utm_source=Core70&utm_medium=organic&utm_campaign=WebsiteURL,"42.374839300297275, -83.05732337056976",
Detroit Transporation Corporation (People Mover Center),https://www.thepeoplemover.com/,"42.329896410191566, -83.04442775800364",
Great Lakes Water Authority,http://glwater.org/,"42.33308256795179, -83.0432474068061",
GLWA Water Works Park,http://glwater.org/,"42.37454733160254, -82.9509360509062",
Detroit Municipal Parking Department,https://detroitmi.gov/departments/municipal-parking-department,"42.327692729358716, -83.02891818389442",
Detroit Public Safety Headquarters ,https://detroitmi.gov/node/916,"42.33894101924887, -83.0415982055185",
Detroit Birth + Death records,https://detroitmi.gov/how-do-i/find-information/birth-and-death-certificates,"42.33471857737046, -83.04214341917836",
Patrick V McNamara Federal Building,https://www.gsa.gov/,"42.33139355102848, -83.05329577325627",
Detroit General Services Department,https://maps.app.goo.gl/oXDgMQ1FZSbr3n4d7,"42.39784260215732, -83.03562374751938",
Department of Public Works - Traffic Engineering,https://detroitmi.gov/departments/department-public-works,"42.33078592430748, -83.08236675150611",
DPW Sign Shop,https://maps.app.goo.gl/vv722vMSfM5iKaeU7,"42.40254445029639, -83.1232732342378",
Detroit Water Sewerage,https://maps.app.goo.gl/VmYt4qqCRQL9merN7,"42.37667408149453, -83.25955233325442",
Wayne County Building,https://www.waynecountymi.gov/Home,"42.332252088758885, -83.04233297846332",
Guardian Building,https://www.guardianbuilding.com/,"42.32978770391211, -83.04556830363276",
Theodore Levin United States Courthouse,https://www.mied.uscourts.gov/index.cfm?pageFunction=courtLocations&locationID=,"42.330729454802345, -83.0490580115645",
Cadillac Place,https://maps.app.goo.gl/284wnFsBkxyYqvbX6,"42.36894303183178, -83.07543750733751",
Detroit Health Department,https://detroitmi.gov/departments/detroit-health-department,"42.34813898443697, -83.05520963966607",
