Resource Title,Source info (literally any way to trace this back + confirm it's real),X-Coordinate,Y-Coordinate,
Adams Butzel Complex,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/adams-butzel-complex,"42.396132727052745,",-83.16527542,
Community Center at AB Ford,https://detroitmi.gov/ABFord,"42.357448349666534,",-82.94090279,
Brennan Recreation Facility,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/brennan-recreation-facility,"42.37039922797176, ",-83.25008479,
Butzel Family Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/butzel-family-center,"42.357941480077386,",-83.00199356,
Clemente Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/clemente-recreation-center,"42.325193829584045, -",-83.0781198,
Chandler Park Fieldhouse,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/chandler-park-fieldhouse,"42.39320436210975, ",-82.97719563,
Coleman A. Young Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/coleman-young-recreation-center,"42.346325169141096, ",-83.02460419,
Crowell Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/crowell-recreation-center,"42.41329065642329, ",-83.25836962,
Farwell Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/farwell-recreation-center,"42.441829807409995,",-83.05860935,
Heilmann Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/heilmann-recreation-center,42.44083455,-82.96314993,
Joseph Walker Williams Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/joseph-walker-williams-center,"42.371128523913555,",-83.09709807,
Kemeny Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/kemeny-recreation-center,"42.274428559325465,",-83.15784267,
Lasky Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/lasky-recreation-center,"42.41390536241923,",-83.05193061,
Northwest Activities Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/northwest-activities-center,"42.423405488281816, ",-83.16950726,
Patton Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/patton-recreation-center,"42.30961928383764, ",-83.1377791,
Tindal Recreation Center,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/tindal-recreation-center,"42.430798956831666,",-83.16339419,
Helen Moore Community Center & Ed Davis Park,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/helen-moore-community-center-ed-davis-park,"42.38055167299786, ",-83.12498999,
,,,,
Focused Hands Community Garden,https://www.facebook.com/myHOPEvillage/,"42.398497861537045, ",-83.12184661,status iffy
Palmer Park Urban Educational Garden,https://www.peopleforpalmerpark.org/garden.html,"42.426405073639934, ",-83.11662223,
North Cass Community Garden,https://midtowndetroitinc.org/nccg/,"42.350698034350984, ",-83.06304656,
Hubbard Farms Community Garden,https://www.facebook.com/HubbardFarmsGarden/#,"42.320662788846704, ",-83.09043545,
Good Neighbors Community Garden, http://www.goodneighborsgarden.org/,"42.46688034825291, ",-83.11148284,
Williamson Street Community Garden,,,,
Cadillac Urban Gardens,https://www.cadillacurbangardens.org/,"42.32780361778858, ",-83.09919295,
Gleaners Community Food Bank of Southeastern Michigan,,"42.35766941982615, ",-82.99647092,
hungtington place,https://www.huntingtonplacedetroit.com/,"42.32677801150157, ",-83.04898172,
Parks!,,,,
https://data.detroitmi.gov/apps/park-finder/explore,,,,
Forgotten Harvest Community Choice Market,https://www.forgottenharvest.org/forgotten-harvests-client-choice-market-fosters-dignity-in-food-assistance/,"42.44658088729592, ",-83.19145007,
Elmwood Blessing Box,https://elmwoodblessingbox.org/,"42.354893926669924,",-83.31479162,
Farmers market 👍👍,,,,
