Bamboo,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3339,-83.0506,coworking space
Building Detroit (Detroit Land Bank Authority),https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3297,-83.0458,vacant properties/affordable housing
Capital Impact Partners,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.33687,-83.05136,economic/leadership contributions to community
Century Partners,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3453,-83.0405,real estate development/ affordable housing
Civilla,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3601,-83.0722,design understandable systems ex. voting and accessing recources
East Detroit Primary Care,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.4287,-82.9579,primary care
"Eye Care For Detroit, Inc., (ECFD)",https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.4201,-83.2147,eye care
Good Cakes and Bakes,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.4353,-83.1419,bakery
Goodpluck,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,doesn't technically have a store-front location but is a RLLY good sustainable business,,sustainable food delivery
Kornr Store,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3533,-83.0886,Coffee shop
Michigan Urban Farming Initiative (MUFI),https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3719,-83.0641,urban farming
NexTiles,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.4082,-83.0818,"recycling, eco-friendly textile products"
Ocelot Print Shop,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3458,-83.0607,print shop
Plum Health,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3323,-83.0673,health care
Sanctuary Farms,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3843,-82.9578,urban farming
SpaceLab Detroit,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3294,-83.0475,coworking space
Strawberry Solar,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3512,-83.0664,solar energy
The Commons,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3686,-83.0033,laundromat
The Congregation,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3775172,-83.1005096,coffee shop/food
The Lab Drawer,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3831,-83.1098,tech compnay provides STEAM box for kids 
ToDooly (A.K.A. ToDoolie),https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3325,-83.0506,connects local students to community members who need assitance
TreadCycle,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3582,-83.0205,recycles tires into new materials
Tree-Purposed,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.4665,-83.3693,recycles materials to make tables
Walker-Miller Energy Services,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3736,-83.0784,energy
Yum Village,https://urbanei.org/urban-innovator-platform/business-profiles/view-all-approved-business-profiles/?pagenum=2,42.3736,-83.0766,food
Gordon Biersch,https://www.dinegreen.com/results,42.2124,-83.3534,food
"Starbucks (70 locations in greater Detroit area), should we add?",https://www.dinegreen.com/results,,,food
"Chick-fil-a (Over a dozen locations, should we add?",https://www.dinegreen.com/results,,,food
Cat Cora’s Taproom,https://www.dinegreen.com/results,42.21735,-83.35648,taproom
Air Margaritaville,https://www.dinegreen.com/results,42.22566,-83.34845,food
Detroit Street Lunchbox,https://www.dinegreen.com/results,42.212431,-83.353393,food
Barcade Detroit,https://www.dinegreen.com/results,42.34738,-83.06456,food
Plum Market with Zingermanns,https://www.dinegreen.com/results,42.21272,-83.35345,food
Atwater Brewery,https://www.dinegreen.com/results,42.33715,-83.01856,coffee
"
",,,,
